,(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
0,07/22/2016 20:39:05.150,1628434432,1144,69560,40176,0,768,1008,0,1608,197648,1400,307384,100,4961,58.0,260
1,07/22/2016 20:39:20.138,1631080448,1144,69560,40936,0,768,1008,0,1608,196696,1400,307192,100,4976,57.8970718722,211
2,07/22/2016 20:39:35.146,1613459456,1144,69560,40472,0,768,1008,0,1608,197408,1400,307440,100,4991,57.7945084145,260
3,07/22/2016 20:39:50.133,1623695360,1144,69560,40272,0,768,1008,0,1608,197688,1400,307520,100,5006,57.8318584071,260
4,07/22/2016 20:40:05.136,1608507392,1144,69560,40272,0,768,1008,0,1608,197688,1400,307520,100,5021,57.906360424,260
5,07/22/2016 20:40:20.140,1597644800,1144,69560,40872,0,768,1008,0,1608,196760,1400,307192,100,5036,57.8924162257,211
6,07/22/2016 20:40:35.143,1603420160,1144,69560,40376,0,768,1008,0,1608,197504,1400,307440,100,5052,57.8785211268,260
7,07/22/2016 20:40:50.147,1595330560,1088,69560,41728,0,768,1008,0,1608,197360,1400,308648,100,5066,57.8276165347,260
8,07/22/2016 20:41:05.134,1604128768,1088,69560,41728,0,768,1008,0,1608,197360,1400,308648,100,5081,57.9016681299,260
9,07/22/2016 20:41:20.135,1599897600,1088,69560,41536,0,768,1008,0,1608,197784,1400,308880,100,5096,57.8878177038,274
10,07/22/2016 20:41:35.138,1601777664,1088,69560,41592,0,768,1008,0,1608,197264,1400,308416,100,5111,57.874015748,260
11,07/22/2016 20:41:50.141,1607237632,1112,69560,40944,0,768,1008,0,1608,196672,1400,307176,100,5126,57.8234265734,211
12,07/22/2016 20:42:05.144,1602240512,1112,69560,40744,0,768,1008,0,1608,197368,1400,307672,100,5141,55.9709821429,260
13,07/22/2016 20:42:20.136,1612705792,1112,69560,40280,0,768,1008,0,1608,197864,1400,307704,100,5156,55.9576837416,274
14,07/22/2016 20:42:35.148,1611104256,1112,69560,41056,0,768,1008,0,1608,196576,1400,307192,100,5171,55.9444444444,211
15,07/22/2016 20:42:50.135,1612128256,1120,69560,40968,0,768,1008,0,1608,196664,1400,307192,100,5186,55.8823529412,211
16,07/22/2016 20:43:05.138,1609388032,1120,69560,40808,0,768,1008,0,1608,197400,1400,307768,100,5202,55.869324474,260
17,07/22/2016 20:43:20.134,1608552448,1120,69560,40512,0,768,1008,0,1608,198408,1400,308480,100,5216,55.7947019868,307
18,07/22/2016 20:43:35.137,1614209024,1120,69560,40512,0,768,1008,0,1608,198408,1400,308480,100,5231,55.8920704846,307
19,07/22/2016 20:43:50.141,1652297728,1120,69560,40648,0,768,1008,0,1608,197624,1400,307832,100,5246,55.8305830583,260
20,07/22/2016 20:44:05.145,1651372032,1120,69560,40248,0,768,1008,0,1608,197416,1400,307224,100,5261,55.7080131723,260
21,07/22/2016 20:44:20.148,1645531136,1120,69560,39832,0,768,1008,0,1608,197928,1400,307320,100,5276,55.69550931,274
